Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
77,Moses Brown,C,22,CLE,10,115,24.3,0.672,0,0.514,13.8,32,23.1,0,1.3,4.7,4.2,18.2,,0.4,0.2,0.6,0.258,,1.7,-0.5,1.3,0.1
78,Sterling Brown,SG,26,DAL,48,614,8.3,0.492,0.597,0.101,4.7,21.6,13.1,7.7,1.1,1,12.9,13.1,,-0.1,0.8,0.7,0.058,,-3.4,0.4,-3,-0.2
79,Troy Brown Jr.,SF,22,CHI,62,985,9.6,0.52,0.513,0.106,4.2,16.6,10.5,7.4,1.5,0.4,8.5,12.1,,0.5,0.8,1.3,0.062,,-2,-0.3,-2.2,-0.1
80,Jalen Brunson,PG,25,DAL,75,2406,17.1,0.581,0.243,0.207,1.9,11.6,6.7,24.9,1.3,0.1,10.4,21.9,,4.5,2.5,7,0.139,,0.8,0,0.8,1.7
81,Thomas Bryant,C,24,WAS,24,401,17.8,0.621,0.284,0.284,7.3,17.9,12.7,8.8,0.7,3.8,10.2,19.6,,0.8,0.4,1.1,0.136,,0.3,-0.7,-0.4,0.2
82,Shaq Buchanan,PG,25,MEM,2,10,0.6,0.25,0.5,0,10.2,10.7,10.5,24.9,4.8,0,33.3,24.6,,-0.1,0,0,-0.227,,-11.2,0,-11.2,0
83,Reggie Bullock,SF,30,DAL,64,1777,9.4,0.555,0.785,0.097,1.9,12.2,7,6.2,1.1,0.7,6.8,13.4,,1.1,1.9,3,0.08,,-1.4,0,-1.4,0.3
84,Trey Burke,PG,29,DAL,39,418,10.1,0.481,0.39,0.112,1.1,7.2,4.1,20.1,1.3,0,10.8,26,,-0.4,0.4,0,0.001,,-3.4,-1.5,-4.9,-0.3
85,Alec Burks,SG,30,NYK,77,2175,13.7,0.553,0.535,0.357,2.1,16.6,9.2,15.4,1.9,1.1,9.1,17.7,,3,2.5,5.5,0.122,,-0.4,1.1,0.8,1.5
86,Jared Butler,SG,21,UTA,39,304,11.8,0.525,0.573,0.092,1.9,10.8,6.5,24.8,2.1,2,18.5,24,,-0.1,0.4,0.3,0.043,,-2.2,0.3,-1.9,0
87,Jimmy Butler,SF,32,MIA,55,1858,23.8,0.589,0.137,0.541,6.2,13.5,10,26.8,2.5,1.5,10.3,26.6,,6,2.9,8.9,0.231,,4.6,1.9,6.5,4
88,Devontae Cacok,PF,25,SAS,11,92,24.3,0.688,0,0.269,7.9,33.4,20.5,7.7,3.6,6.3,6.4,14.2,,0.3,0.2,0.5,0.25,,2.2,4.4,6.6,0.2
89,Kentavious Caldwell-Pope,SG,28,WAS,74,2246,12.7,0.569,0.499,0.192,2,10.3,6.2,9.1,1.8,0.9,9.6,18.8,,1.5,1.5,3,0.065,,-0.8,-0.5,-1.4,0.4
90,Facundo Campazzo,PG,30,DEN,63,1173,11.2,0.506,0.649,0.268,2.3,8.7,5.6,23.9,2.6,1.8,16.9,14.7,,0.7,1.3,2,0.083,,-2,1.3,-0.8,0.4
91,Vlatko Čančar,PF,24,DEN,14,152,13.8,0.678,0.308,0.308,4.6,12.1,8.4,12,0.6,1.8,15.3,15.1,,0.3,0.1,0.4,0.121,,-0.1,-0.5,-0.6,0.1
92,Devin Cannady,PG,25,ORL,1,29,7.6,0.643,1,0,0,0,0,10,1.7,0,22.2,13.4,,0,0,0,0.009,,-1.5,0,-1.5,0
93,Clint Capela,C,27,ATL,70,1934,20.9,0.596,0.002,0.282,14.9,31.9,23.4,6.9,1.2,4.2,6.5,15.3,,5,2.5,7.6,0.187,,1.9,-0.1,1.8,1.9
94,Vernon Carey Jr.,C,20,TOT,5,18,16.3,0.546,0,0.5,17.3,11.9,14.6,0,2.7,0,12,19.6,,0,0,0,0.093,,-2.9,-5.2,-8.2,0
94,Vernon Carey Jr.,C,20,CHO,4,17,17.2,0.546,0,0.5,18.3,12.6,15.5,0,2.8,0,12,20.8,,0,0,0,0.099,,-2.8,-5.2,-7.9,0
94,Vernon Carey Jr.,C,20,WAS,1,1,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.01,,-6.2,-5.8,-12,0
